category,n_total,n_predicted,success_pct,mean_lddt,mean_dockq
interface_antibody_antigen,7,7,0.0,0.59234214471737,0.12444481972431957
interface_protein_dna,7,3,0.0,0.7173218870198593,0.0
interface_protein_ligand,7,5,0.0,0.6118723060347075,nan
interface_protein_peptide,7,7,0.0,0.5822715138533457,0.01597527408041326
interface_protein_protein,7,6,16.666666666666668,0.6785957593775023,0.1521511062309657
interface_protein_rna,7,3,0.0,0.5247797947250444,0.12533517497672084
monomer_dna,4,4,nan,0.45486205302587807,nan
monomer_protein,7,7,nan,0.7483913513371194,nan
monomer_rna,7,7,nan,0.4228402868923574,nan
