stage,train/gdt_ts,_step,loss,train/lddt_hard,_runtime,lr,train/plddt,loss/diffusion,tokens_per_sec,grad_norm,loss/distogram,train/rmsd,gpu/peak_mem_gb,train/lddt,_timestamp,val/total_loss,val/n_attempted,val/plddt,val/diffusion_loss,val/n_skipped,val/lddt_hard,val/lddt,val/rmsd,val/distogram_loss,val/gdt_ts
stage1,0.9657431840896606,0,0.4941956102848053,0.9111597537994385,66.417761777,0.0,28.083423614501953,0.32287415862083435,14.648111738179615,6.479360103607178,1.7132145166397095,0.7004643082618713,11.158724608,0.8774669766426086,1776875779.0772471,,,,,,,,,,
stage1,0.7878901958465576,10,0.7680979162454605,0.7223647236824036,108.818757005,5e-05,30.92412567138672,0.5467036619782448,88.77726451272393,6.884967422485351,2.213942551612854,1.670488715171814,14.034464256,0.697997760772705,1776875819.1034694,,,,,,,,,,
stage1,0.9253420829772949,20,0.43192551136016843,0.8548715710639954,143.925381147,0.0001,43.2378044128418,0.2068268608301878,70.64306696421998,4.181168735027313,2.2509864807128905,0.9833770394325256,14.04032512,0.7696861028671265,1776875861.5047948,,,,,,,,,,
stage1,0.9464874863624573,30,0.46326438039541246,0.8803632259368896,179.566777046,0.00015,30.022653579711914,0.2759505894035101,104.24096299648366,2.0562852382659913,1.8731378674507142,0.829964280128479,14.0308992,0.6836037755012512,1776875896.611315,,,,,,,,,,
stage1,0.6556402444839478,40,0.3787963271141052,0.6211955547332764,208.530662635,0.0002,24.62269401550293,0.16712884828448296,94.53743772765738,1.8159960150718688,2.1166747212409973,2.615166187286377,14.014893056,0.6871621906757355,1776875932.2529333,,,,,,,,,,
stage1,0.9407294988632202,50,0.514705342054367,0.8805680274963379,286.721588898,0.00025,53.52051544189453,0.3259704506024718,118.61670335149722,3.9379750370979307,1.8873488068580628,0.9081063866615295,14.036326912,0.7119355916976928,1776875961.2168353,,,,,,,,,,
stage1,0.7879509925842285,60,0.3316218048334122,0.7616047859191895,316.068820803,0.0003,49.204532623291016,0.13351110946387051,44.125541060395356,2.1356440424919128,1.98110693693161,1.703881025314331,14.011472384,0.679146921634674,1776876039.4075646,,,,,,,,,,
stage1,0.021373918280005455,70,0.42375783026218417,0.2866826355457306,527.180183743,0.00035000000000000005,30.049152374267578,0.22969438657164573,115.59979814715363,5.617748498916626,1.9406345009803772,17.99410629272461,14.04324096,0.6543219923973084,1776876068.7549589,,,,,,,,,,
stage1,0.1574273407459259,80,0.30699391216039656,0.31832849979400635,557.909830007,0.0004,31.836742401123047,0.12252472750842572,17.095645084414766,3.171080732345581,1.844691848754883,9.121253967285156,14.014897664,0.6188997387886047,1776876279.8663642,,,,,,,,,,
stage1,0.9767311811447144,90,4.469642253220082,0.9240672588348389,590.921028709,0.00045,28.615507125854492,4.271012357249856,115.02195938550477,15.478180134296418,1.9863008260726929,0.6350863575935364,14.017518592,0.7318676471710205,1776876310.5958557,,,,,,,,,,
stage1,0.9727400541305542,100,0.3805736154317856,0.9167138338088989,617.069539814,0.0005,33.32962417602539,0.21020414857193828,112.49461002946705,2.5311027646064757,1.7036946296691895,0.6641444563865662,14.02889984,0.7993883609771728,1776876343.6068792,,,,,,,,,,
stage1,0.5082644820213318,110,0.354125913977623,0.5485600829124451,649.35523857,0.00055,29.828332901000977,0.15114519484341143,131.5774112122761,4.063989448547363,2.0298070907592773,3.8958256244659424,14.016997888,0.6254248857498169,1776876369.7557662,,,,,,,,,,
stage1,0.8635719418525696,120,0.3289698094129562,0.7949511408805847,708.584167447,0.0006,44.4431266784668,0.16692418605089188,107.71178972325802,2.3310567021369932,1.6204561829566955,1.3353630304336548,14.006474752,0.7856841802597045,1776876402.0413592,,,,,,,,,,
stage1,0.9834749698638916,130,0.9151933252811432,0.9619430899620056,771.263602746,0.00065,90.18012237548828,0.7606825366616249,56.0413975020831,23.32440140247345,1.5451080918312072,0.5391107201576233,14.019817472,0.8144279956817627,1776876461.2702227,,,,,,,,,,
stage1,0.8465009331703186,140,0.44546045660972594,0.7792783975601196,802.684716788,0.0007000000000000001,32.37877655029297,0.26316625978797675,49.557425834444196,6.101583635807037,1.8229419231414794,1.3847603797912598,14.039434752,0.7372285425662994,1776876523.9497378,,,,,,,,,,
