eval_set,arm,label,n,mean_lddt,ci_lo,ci_hi
eval-denovo,off,"Helico, no contacts",8,0.8157108843444094,0.7713856916266194,0.8532356647443367
eval-denovo,mf_L,"Helico + MarinFold, top-L",8,0.8194691521483306,0.7919507087515668,0.8454471935502568
eval-denovo,oracle,Helico + oracle contacts,8,0.8376342441139564,0.8098979813741221,0.8651790904919432
all,off,"Helico, no contacts",8,0.8157108843444094,0.7713856916266194,0.8532356647443367
all,mf_L,"Helico + MarinFold, top-L",8,0.8194691521483306,0.7919507087515668,0.8454471935502568
all,oracle,Helico + oracle contacts,8,0.8376342441139564,0.8098979813741221,0.8651790904919432
