target_id,eval_set,L,precision_L,n_pairs_L,n_unmapped_L,precision_L2,n_pairs_L2,n_unmapped_L2,precision_L5,n_pairs_L5,n_unmapped_L5
8fty_A,eval-test,509,0.45776,509,0,0.645669,254,0,0.871287,101,0
8h2f_A,eval-test,180,0.777778,180,0,0.988889,90,0,1.0,36,0
8fz8_A,eval-test,405,0.676543,405,0,0.920792,202,0,1.0,81,0
8fz9_A,eval-test,138,0.594203,138,0,0.855072,69,0,0.962963,27,0
8g0n_A,eval-test,247,0.753036,247,0,0.96748,123,0,1.0,49,0
8g1l_A,eval-test,252,0.492063,252,0,0.666667,126,0,0.88,50,0
8g1y_A,eval-test,497,0.37827,497,0,0.528226,248,0,0.656566,99,0
8g32_A,eval-test,362,0.099448,362,0,0.110497,181,0,0.097222,72,0
8g52_A,eval-test,329,0.452888,329,0,0.579268,164,0,0.769231,65,0
8g53_A,eval-test,218,0.380734,218,0,0.541284,109,0,0.860465,43,0
8g5u_A,eval-test,489,0.595092,489,0,0.758197,244,0,0.927835,97,0
8g64_A,eval-test,172,0.686047,172,0,0.872093,86,0,0.970588,34,0
8gbe_A,eval-test,207,0.091787,207,0,0.165049,103,0,0.219512,41,0
8gdl_A,eval-test,361,0.548476,361,0,0.694444,180,0,0.916667,72,0
8gj9_A,eval-test,65,0.476923,65,0,0.65625,32,0,0.846154,13,0
8gjw_A,eval-test,355,0.490141,355,0,0.632768,177,0,0.802817,71,0
8gjy_A,eval-test,376,0.553191,376,0,0.691489,188,0,0.88,75,0
8gkd_A,eval-test,358,0.73743,358,0,0.921788,179,0,1.0,71,0
8gok_A,eval-test,273,0.186813,273,0,0.279412,136,0,0.407407,54,0
8gr7_A,eval-test,343,0.740525,343,0,0.912281,171,0,0.985294,68,0
8gsy_A,eval-test,144,0.5625,144,0,0.777778,72,0,0.892857,28,0
8gqq_A,eval-test,99,0.656566,99,0,0.877551,49,0,1.0,19,0
8gtz_A,eval-test,483,0.538302,483,0,0.775934,241,0,0.958333,96,0
8h02_A,eval-test,84,0.547619,84,0,0.880952,42,0,0.9375,16,0
8h5s_A,eval-test,260,0.526923,260,0,0.753846,130,0,0.884615,52,0
8hbt_A,eval-test,446,0.549327,446,0,0.672646,223,0,0.865169,89,0
8hd2_A,eval-test,354,0.638418,354,0,0.813559,177,0,0.928571,70,0
8he1_A,eval-test,280,0.667857,280,0,0.885714,140,0,0.982143,56,0
8axs_A,eval-test,578,0.621107,578,0,0.802768,289,0,0.913043,115,0
8hnq_A,eval-test,286,0.776224,286,0,0.93007,143,0,0.964912,57,0
8hvd_A,eval-test,614,0.687296,614,0,0.892508,307,0,0.967213,122,0
7xhz_A,eval-test,231,0.558442,231,0,0.695652,115,0,0.782609,46,0
8hw8_A,eval-test,356,0.699438,356,0,0.910112,178,0,1.0,71,0
8hxs_A,eval-test,100,0.8,100,0,0.88,50,0,0.95,20,0
8ii8_A,eval-test,226,0.243363,226,0,0.39823,113,0,0.666667,45,0
8ikx_A,eval-test,390,0.738462,390,0,0.94359,195,0,0.961538,78,0
8ini_A,eval-test,99,0.090909,99,0,0.122449,49,0,0.105263,19,0
8iqc_A,eval-test,254,0.507874,254,0,0.692913,127,0,0.82,50,0
8irq_A,eval-test,165,0.115152,165,0,0.158537,82,0,0.212121,33,0
8iym_A,eval-test,163,0.779141,163,0,0.975309,81,0,0.96875,32,0
8j2n_A,eval-test,320,0.528125,320,0,0.73125,160,0,0.90625,64,0
8j2x_A,eval-test,341,0.510264,341,0,0.747059,170,0,0.926471,68,0
8jb3_A,eval-test,455,0.367033,455,0,0.511013,227,0,0.659341,91,0
7wr2_A,eval-test,161,0.583851,161,0,0.8,80,0,0.875,32,0
8j8y_A,eval-test,141,0.347518,141,0,0.428571,70,0,0.5,28,0
8j9r_A,eval-test,74,0.067568,74,0,0.108108,37,0,0.285714,14,0
8jdg_A,eval-test,471,0.619958,471,0,0.834043,235,0,0.968085,94,0
8jh8_A,eval-test,248,0.71371,248,0,0.91129,124,0,0.979592,49,0
8jiy_A,eval-test,241,0.522822,241,0,0.716667,120,0,0.916667,48,0
8jmy_A,eval-test,129,0.643411,129,0,0.859375,64,0,1.0,25,0
8jn0_A,eval-test,89,0.808989,89,0,0.954545,44,0,1.0,17,0
8jup_A,eval-test,327,0.504587,327,0,0.736196,163,0,0.861538,65,0
8jv2_A,eval-test,361,0.68144,361,0,0.855556,180,0,0.916667,72,0
8jws_A,eval-test,127,0.362205,127,0,0.619048,63,0,0.84,25,0
8cjd_A,eval-test,663,0.271493,663,0,0.41994,331,0,0.727273,132,0
8k2g_A,eval-test,516,0.653101,516,0,0.864341,258,0,0.961165,103,0
8k2k_A,eval-test,542,0.750923,542,0,0.907749,271,0,0.990741,108,0
8k2m_A,eval-test,581,0.497418,581,0,0.682759,290,0,0.87931,116,0
8k4m_A,eval-test,137,0.065693,137,0,0.058824,68,0,0.111111,27,0
8k5j_A,eval-test,427,0.550351,427,0,0.746479,213,0,0.917647,85,0
8k7x_A,eval-test,856,0.410047,856,0,0.64486,428,0,0.859649,171,0
8kg4_A,eval-test,265,0.732075,265,0,0.962121,132,0,1.0,53,0
8xrh_A,eval-test,408,0.458333,408,0,0.637255,204,0,0.802469,81,0
8khv_A,eval-test,614,0.711726,614,0,0.889251,307,0,0.959016,122,0
8kih_A,eval-test,332,0.509036,332,0,0.656627,166,0,0.833333,66,0
8ok3_A,eval-test,125,0.536,125,0,0.709677,62,0,0.84,25,0
8oqh_A,eval-test,91,0.593407,91,0,0.911111,45,0,0.944444,18,0
8ork_A,eval-test,460,0.38913,460,0,0.530435,230,0,0.695652,92,0
8os2_A,eval-test,146,0.171233,146,0,0.246575,73,0,0.310345,29,0
8owf_A,eval-test,575,0.626087,575,0,0.864111,287,0,0.973913,115,0
8osz_A,eval-test,263,0.558935,263,0,0.78626,131,0,0.961538,52,0
8ou1_A,eval-test,148,0.067568,148,0,0.121622,74,0,0.206897,29,0
8ovq_A,eval-test,232,0.534483,232,0,0.767241,116,0,1.0,46,0
8ovu_A,eval-test,99,0.737374,99,0,0.959184,49,0,1.0,19,0
8ow8_A,eval-test,446,0.233184,446,0,0.331839,223,0,0.516854,89,0
8oxk_A,eval-test,99,0.313131,99,0,0.44898,49,0,0.789474,19,0
8oxl_A,eval-test,92,0.25,92,0,0.282609,46,0,0.333333,18,0
8p0e_A,eval-test,190,0.589474,190,0,0.768421,95,0,0.947368,38,0
8p2a_A,eval-test,89,0.47191,89,0,0.681818,44,0,0.882353,17,0
8p5p_A,eval-test,116,0.103448,116,0,0.137931,58,0,0.130435,23,0
8p5n_A,eval-test,144,0.680556,144,0,0.875,72,0,0.964286,28,0
7wu8_A,eval-test,96,0.416667,96,0,0.604167,48,0,0.684211,19,0
8pak_A,eval-test,361,0.66482,361,0,0.855556,180,0,0.958333,72,0
8paq_A,eval-test,166,0.222892,166,0,0.277108,83,0,0.393939,33,0
8pb5_A,eval-test,322,0.456522,322,0,0.57764,161,0,0.75,64,0
8ptd_A,eval-test,343,0.83965,343,0,0.947368,171,0,1.0,68,0
8pu2_A,eval-test,75,0.226667,75,0,0.27027,37,0,0.266667,15,0
8pvs_A,eval-test,731,0.711354,731,0,0.906849,365,0,0.986301,146,0
8pw2_A,eval-test,72,0.597222,72,0,0.916667,36,0,1.0,14,0
8pxc_A,eval-test,457,0.159737,457,0,0.254386,228,0,0.461538,91,0
8pxu_A,eval-test,655,0.664122,655,0,0.874618,327,0,0.969466,131,0
8q1v_A,eval-test,93,0.44086,93,0,0.73913,46,0,1.0,18,0
8qb1_A,eval-test,88,0.693182,88,0,0.886364,44,0,0.764706,17,0
8qd8_A,eval-test,431,0.600928,431,0,0.809302,215,0,0.953488,86,0
8qjp_A,eval-test,254,0.641732,254,0,0.874016,127,0,1.0,50,0
8qlc_A,eval-test,627,0.649123,627,0,0.853035,313,0,1.0,125,0
8qoh_A,eval-test,278,0.31295,278,0,0.489209,139,0,0.672727,55,0
8qpj_A,eval-test,300,0.396667,300,0,0.52,150,0,0.666667,60,0
8qq1_A,eval-test,221,0.800905,221,0,0.972727,110,0,1.0,44,0
8qx6_A,eval-test,165,0.624242,165,0,0.841463,82,0,0.969697,33,0
8r2c_A,eval-test,169,0.621302,169,0,0.869048,84,0,0.939394,33,0
8r5n_A,eval-test,165,0.127273,165,0,0.182927,82,0,0.30303,33,0
8rcw_A,eval-test,229,0.672489,229,0,0.885965,114,0,0.955556,45,0
8rdd_A,eval-test,170,0.558824,170,0,0.741176,85,0,0.941176,34,0
8re3_A,eval-test,445,0.34382,445,0,0.5,222,0,0.730337,89,0
8rom_A,eval-test,202,0.633663,202,0,0.841584,101,0,0.975,40,0
8an4_A,eval-test,196,0.642857,196,0,0.908163,98,0,0.974359,39,0
8qnf_A,eval-test,537,0.689013,537,0,0.876866,268,0,0.981308,107,0
8s5b_A,eval-test,396,0.767677,396,0,0.914141,198,0,0.987342,79,0
8s9l_A,eval-test,270,0.514815,270,0,0.688889,135,0,0.888889,54,0
8sot_A,eval-test,116,0.715517,116,0,0.965517,58,0,0.956522,23,0
8spc_A,eval-test,415,0.592771,415,0,0.835749,207,0,0.939759,83,0
8suc_A,eval-test,283,0.710247,283,0,0.893617,141,0,1.0,56,0
8sv7_A,eval-test,276,0.521739,276,0,0.673913,138,0,0.927273,55,0
8sx0_A,eval-test,111,0.414414,111,0,0.672727,55,0,0.818182,22,0
8sxs_A,eval-test,126,0.674603,126,0,0.857143,63,0,0.96,25,0
8gm7_A,eval-test,170,0.247059,170,0,0.376471,85,0,0.411765,34,0
8t27_A,eval-test,509,0.689587,509,0,0.885827,254,0,0.980198,101,0
8t2j_A,eval-test,345,0.669565,345,0,0.872093,172,0,1.0,69,0
8t41_A,eval-test,867,0.615917,867,0,0.7806,433,0,0.930636,173,0
8t4c_A,eval-test,147,0.768707,147,0,0.945205,73,0,0.896552,29,0
8t5t_A,eval-test,208,0.634615,208,0,0.836538,104,0,0.97561,41,0
8t8k_A,eval-test,184,0.25,184,0,0.26087,92,0,0.305556,36,0
8t93_A,eval-test,249,0.48996,249,0,0.685484,124,0,0.938776,49,0
8t9n_A,eval-test,135,0.266667,135,0,0.447761,67,0,0.666667,27,0
8te9_A,eval-test,336,0.776786,336,0,0.916667,168,0,1.0,67,0
8tfo_A,eval-test,416,0.644231,416,0,0.836538,208,0,0.927711,83,0
8tfs_A,eval-test,186,0.467742,186,0,0.698925,93,0,0.945946,37,0
8hic_A,eval-test,414,0.717391,414,0,0.913043,207,0,1.0,82,0
8ti5_A,eval-test,134,0.440299,134,0,0.567164,67,0,0.730769,26,0
8tjg_A,eval-test,260,0.592308,260,0,0.8,130,0,0.942308,52,0
8tru_A,eval-test,408,0.477941,408,0,0.681373,204,0,0.938272,81,0
8tse_A,eval-test,428,0.429907,428,0,0.560748,214,0,0.776471,85,0
8tuk_A,eval-test,322,0.652174,322,0,0.863354,161,0,0.96875,64,0
8tw1_A,eval-test,286,0.496503,286,0,0.685315,143,0,0.859649,57,0
8tyh_A,eval-test,538,0.51487,538,0,0.754647,269,0,0.925234,107,0
8u0i_A,eval-test,90,0.744444,90,0,1.0,45,0,1.0,18,0
8u0x_A,eval-test,186,0.080645,186,0,0.053763,93,0,0.027027,37,0
8u2f_A,eval-test,149,0.671141,149,0,0.905405,74,0,1.0,29,0
8ubs_A,eval-test,151,0.834437,151,0,0.96,75,0,1.0,30,0
8uds_A,eval-test,167,0.556886,167,0,0.73494,83,0,0.878788,33,0
8tls_A,eval-test,116,0.508621,116,0,0.655172,58,0,0.782609,23,0
8ujw_A,eval-test,264,0.30303,264,0,0.545455,132,0,0.846154,52,0
8uk7_A,eval-test,138,0.355072,138,0,0.521739,69,0,0.814815,27,0
8upi_A,eval-test,523,0.739962,523,0,0.908046,261,0,0.990385,104,0
8ux2_A,eval-test,246,0.162602,246,0,0.219512,123,0,0.387755,49,0
8v3m_A,eval-test,524,0.398855,524,0,0.610687,262,0,0.894231,104,0
8v6t_A,eval-test,172,0.459302,172,0,0.662791,86,0,0.764706,34,0
8vcw_A,eval-test,327,0.584098,327,0,0.779141,163,0,0.953846,65,0
8vh7_A,eval-test,552,0.652174,552,0,0.887681,276,0,0.990909,110,0
8vpo_A,eval-test,472,0.697034,472,0,0.864407,236,0,0.925532,94,0
8vqk_A,eval-test,440,0.668182,440,0,0.868182,220,0,0.965909,88,0
8w6v_A,eval-test,536,0.070896,536,0,0.074627,268,0,0.093458,107,0
8w7p_A,eval-test,274,0.540146,274,0,0.70073,137,0,0.87037,54,0
8wac_A,eval-test,127,0.645669,127,0,0.825397,63,0,0.96,25,0
8wae_A,eval-test,118,0.627119,118,0,0.881356,59,0,0.956522,23,0
8wc1_A,eval-test,178,0.595506,178,0,0.741573,89,0,0.942857,35,0
8wcf_A,eval-test,160,0.56875,160,0,0.8,80,0,0.96875,32,0
8whj_A,eval-test,264,0.625,264,0,0.871212,132,0,0.980769,52,0
8whn_A,eval-test,161,0.42236,161,0,0.65,80,0,0.84375,32,0
8wik_A,eval-test,373,0.613941,373,0,0.849462,186,0,0.972973,74,0
8wj5_A,eval-test,140,0.15,140,0,0.2,70,0,0.321429,28,0
8kbl_A,eval-test,104,0.644231,104,0,0.903846,52,0,1.0,20,0
8wnj_A,eval-test,920,0.292391,920,0,0.443478,460,0,0.608696,184,0
8wrx_A,eval-test,88,0.363636,88,0,0.522727,44,0,0.647059,17,0
8wt3_A,eval-test,135,0.592593,135,0,0.716418,67,0,0.814815,27,0
8wim_A,eval-test,620,0.566129,620,0,0.754839,310,0,0.895161,124,0
8x7c_A,eval-test,353,0.606232,353,0,0.852273,176,0,0.9,70,0
8xf9_A,eval-test,283,0.64311,283,0,0.879433,141,0,0.964286,56,0
8xif_A,eval-test,224,0.450893,224,0,0.633929,112,0,0.886364,44,0
8xjg_A,eval-test,153,0.686275,153,0,0.947368,76,0,0.966667,30,0
8xpk_A,eval-test,269,0.780669,269,0,0.962687,134,0,1.0,53,0
8y9p_A,eval-test,256,0.460938,256,0,0.695312,128,0,0.960784,51,0
8ye0_A,eval-test,290,0.351724,290,0,0.462069,145,0,0.586207,58,0
8wqn_A,eval-test,173,0.098266,173,0,0.127907,86,0,0.205882,34,0
8yxk_A,eval-test,201,0.487562,201,0,0.76,100,0,0.95,40,0
8z4q_A,eval-test,473,0.10148,473,0,0.148305,236,0,0.180851,94,0
8hel_A,eval-test,76,0.315789,76,0,0.368421,38,0,0.266667,15,0
8zqf_A,eval-test,214,0.514019,214,0,0.663551,107,0,0.833333,42,0
9aue_A,eval-test,415,0.546988,415,0,0.758454,207,0,0.891566,83,0
9azz_A,eval-test,186,0.677419,186,0,0.860215,93,0,1.0,37,0
9b1u_A,eval-test,310,0.619355,310,0,0.767742,155,0,0.822581,62,0
9bks_A,eval-test,80,0.325,80,0,0.275,40,0,0.5625,16,0
9bjx_A,eval-test,368,0.586957,368,0,0.777174,184,0,0.917808,73,0
