stem,L,recipe,n_label,n_requested,n_got,n_true,precision,recall
8b2e_A,143,rollout,L/5,28,28,130,0.8571428571428571,0.18461538461538463
8b2e_A,143,rollout,L/2,71,71,130,0.8169014084507042,0.4461538461538462
8b2e_A,143,rollout,L,143,143,130,0.5804195804195804,0.6384615384615384
8b2e_A,143,single,L/5,28,28,130,0.14285714285714285,0.03076923076923077
8b2e_A,143,single,L/2,71,71,130,0.18309859154929578,0.1
8b2e_A,143,single,L,143,115,130,0.1565217391304348,0.13846153846153847
8b2g_A,74,rollout,L/5,14,14,59,0.9285714285714286,0.22033898305084745
8b2g_A,74,rollout,L/2,37,37,59,0.8918918918918919,0.559322033898305
8b2g_A,74,rollout,L,74,74,59,0.6621621621621622,0.8305084745762712
8b2g_A,74,single,L/5,14,14,59,0.5714285714285714,0.13559322033898305
8b2g_A,74,single,L/2,37,37,59,0.6486486486486487,0.4067796610169492
8b2g_A,74,single,L,74,46,59,0.6739130434782609,0.5254237288135594
8b2s_A,245,rollout,L/5,49,49,186,0.9387755102040817,0.24731182795698925
8b2s_A,245,rollout,L/2,122,122,186,0.7786885245901639,0.510752688172043
8b2s_A,245,rollout,L,245,245,186,0.5836734693877551,0.7688172043010753
8b2s_A,245,single,L/5,49,49,186,0.4897959183673469,0.12903225806451613
8b2s_A,245,single,L/2,122,122,186,0.5409836065573771,0.3548387096774194
8b2s_A,245,single,L,245,172,186,0.5697674418604651,0.5268817204301075
8b4u_A,277,rollout,L/5,55,55,273,1.0,0.20146520146520147
8b4u_A,277,rollout,L/2,138,138,273,0.9637681159420289,0.48717948717948717
8b4u_A,277,rollout,L,277,277,273,0.8158844765342961,0.8278388278388278
8b4u_A,277,single,L/5,55,55,273,0.6181818181818182,0.12454212454212454
8b4u_A,277,single,L/2,138,138,273,0.6956521739130435,0.3516483516483517
8b4u_A,277,single,L,277,261,273,0.7126436781609196,0.6813186813186813
8b5w_A,459,rollout,L/5,91,91,370,0.23076923076923078,0.05675675675675676
8b5w_A,459,rollout,L/2,229,229,370,0.15283842794759825,0.0945945945945946
8b5w_A,459,rollout,L,459,459,370,0.13507625272331156,0.16756756756756758
8b5w_A,459,single,L/5,91,91,370,0.06593406593406594,0.016216216216216217
8b5w_A,459,single,L/2,229,229,370,0.06550218340611354,0.04054054054054054
8b5w_A,459,single,L,459,445,370,0.058426966292134834,0.07027027027027027
8b61_A,238,rollout,L/5,47,47,212,0.8936170212765957,0.19811320754716982
8b61_A,238,rollout,L/2,119,119,212,0.6218487394957983,0.3490566037735849
8b61_A,238,rollout,L,238,238,212,0.42016806722689076,0.4716981132075472
8b61_A,238,single,L/5,47,47,212,0.23404255319148937,0.05188679245283019
8b61_A,238,single,L/2,119,119,212,0.2857142857142857,0.16037735849056603
8b61_A,238,single,L,238,231,212,0.2857142857142857,0.3113207547169811
8b6a_A,214,rollout,L/5,42,42,195,0.9523809523809523,0.20512820512820512
8b6a_A,214,rollout,L/2,107,107,195,0.822429906542056,0.4512820512820513
8b6a_A,214,rollout,L,214,214,195,0.602803738317757,0.6615384615384615
8b6a_A,214,single,L/5,42,42,195,0.35714285714285715,0.07692307692307693
8b6a_A,214,single,L/2,107,107,195,0.4485981308411215,0.24615384615384617
8b6a_A,214,single,L,214,182,195,0.4835164835164835,0.4512820512820513
8b6e_A,66,rollout,L/5,13,13,44,1.0,0.29545454545454547
8b6e_A,66,rollout,L/2,33,33,44,0.9090909090909091,0.6818181818181818
8b6e_A,66,rollout,L,66,66,44,0.6060606060606061,0.9090909090909091
8b6e_A,66,single,L/5,13,13,44,0.6153846153846154,0.18181818181818182
8b6e_A,66,single,L/2,33,33,44,0.7575757575757576,0.5681818181818182
8b6e_A,66,single,L,66,37,44,0.7837837837837838,0.6590909090909091
8baq_A,208,rollout,L/5,41,41,190,0.926829268292683,0.2
8baq_A,208,rollout,L/2,104,104,190,0.6057692307692307,0.33157894736842103
8baq_A,208,rollout,L,208,208,190,0.40865384615384615,0.4473684210526316
8baq_A,208,single,L/5,41,41,190,0.21951219512195122,0.04736842105263158
8baq_A,208,single,L/2,104,104,190,0.25961538461538464,0.14210526315789473
8baq_A,208,single,L,208,208,190,0.22596153846153846,0.24736842105263157
8bau_A,189,rollout,L/5,37,37,209,0.972972972972973,0.1722488038277512
8bau_A,189,rollout,L/2,94,94,209,0.8936170212765957,0.4019138755980861
8bau_A,189,rollout,L,189,189,209,0.6455026455026455,0.583732057416268
8bau_A,189,single,L/5,37,37,209,0.40540540540540543,0.07177033492822966
8bau_A,189,single,L/2,94,94,209,0.4574468085106383,0.20574162679425836
8bau_A,189,single,L,189,189,209,0.4126984126984127,0.37320574162679426
8bfy_A,426,rollout,L/5,85,85,359,0.9411764705882353,0.22284122562674094
8bfy_A,426,rollout,L/2,213,213,359,0.7746478873239436,0.4596100278551532
8bfy_A,426,rollout,L,426,426,359,0.5563380281690141,0.6601671309192201
8bfy_A,426,single,L/5,85,85,359,0.43529411764705883,0.10306406685236769
8bfy_A,426,single,L/2,213,213,359,0.431924882629108,0.2562674094707521
8bfy_A,426,single,L,426,386,359,0.46632124352331605,0.5013927576601671
8bgb_A,131,rollout,L/5,26,26,101,0.9615384615384616,0.24752475247524752
8bgb_A,131,rollout,L/2,65,65,101,0.9384615384615385,0.6039603960396039
8bgb_A,131,rollout,L,131,131,101,0.6870229007633588,0.8910891089108911
8bgb_A,131,single,L/5,26,26,101,0.7307692307692307,0.18811881188118812
8bgb_A,131,single,L/2,65,65,101,0.7076923076923077,0.45544554455445546
8bgb_A,131,single,L,131,107,101,0.7102803738317757,0.7524752475247525
8bke_A,638,rollout,L/5,127,127,494,0.9133858267716536,0.23481781376518218
8bke_A,638,rollout,L/2,319,319,494,0.6175548589341693,0.39878542510121456
8bke_A,638,rollout,L,638,638,494,0.43573667711598746,0.562753036437247
8bke_A,638,single,L/5,127,127,494,0.23622047244094488,0.06072874493927125
8bke_A,638,single,L/2,319,319,494,0.2946708463949843,0.1902834008097166
8bke_A,638,single,L,638,597,494,0.31993299832495814,0.3866396761133603
8bsb_A,177,rollout,L/5,35,35,115,0.9142857142857143,0.2782608695652174
8bsb_A,177,rollout,L/2,88,88,115,0.6818181818181818,0.5217391304347826
8bsb_A,177,rollout,L,177,177,115,0.480225988700565,0.7391304347826086
8bsb_A,177,single,L/5,35,35,115,0.5714285714285714,0.17391304347826086
8bsb_A,177,single,L/2,88,88,115,0.5681818181818182,0.43478260869565216
8bsb_A,177,single,L,177,115,115,0.5391304347826087,0.5391304347826087
8bux_A,334,rollout,L/5,66,66,240,0.12121212121212122,0.03333333333333333
8bux_A,334,rollout,L/2,167,167,240,0.09580838323353294,0.06666666666666667
8bux_A,334,rollout,L,334,334,240,0.0748502994011976,0.10416666666666667
8bux_A,334,single,L/5,66,66,240,0.030303030303030304,0.008333333333333333
8bux_A,334,single,L/2,167,167,240,0.041916167664670656,0.029166666666666667
8bux_A,334,single,L,334,167,240,0.041916167664670656,0.029166666666666667
8c4d_A,330,rollout,L/5,66,66,229,0.6515151515151515,0.18777292576419213
8c4d_A,330,rollout,L/2,165,165,229,0.509090909090909,0.36681222707423583
8c4d_A,330,rollout,L,330,330,229,0.4,0.5764192139737991
8c4d_A,330,single,L/5,66,66,229,0.2878787878787879,0.08296943231441048
8c4d_A,330,single,L/2,165,165,229,0.2787878787878788,0.20087336244541484
8c4d_A,330,single,L,330,330,229,0.28484848484848485,0.4104803493449782
8c4y_A,314,rollout,L/5,62,62,373,0.9838709677419355,0.16353887399463807
8c4y_A,314,rollout,L/2,157,157,373,0.9426751592356688,0.3967828418230563
8c4y_A,314,rollout,L,314,314,373,0.7611464968152867,0.6407506702412868
8c4y_A,314,single,L/5,62,62,373,0.532258064516129,0.08847184986595175
8c4y_A,314,single,L/2,157,157,373,0.5286624203821656,0.2225201072386059
8c4y_A,314,single,L,314,314,373,0.5382165605095541,0.45308310991957107
8cba_A,214,rollout,L/5,42,42,245,0.3333333333333333,0.05714285714285714
8cba_A,214,rollout,L/2,107,107,245,0.32710280373831774,0.14285714285714285
8cba_A,214,rollout,L,214,214,245,0.2570093457943925,0.22448979591836735
8cba_A,214,single,L/5,42,42,245,0.047619047619047616,0.00816326530612245
8cba_A,214,single,L/2,107,107,245,0.1308411214953271,0.05714285714285714
8cba_A,214,single,L,214,180,245,0.1388888888888889,0.10204081632653061
8ci9_A,312,rollout,L/5,62,62,337,1.0,0.18397626112759644
8ci9_A,312,rollout,L/2,156,156,337,0.9487179487179487,0.4391691394658754
8ci9_A,312,rollout,L,312,312,337,0.7532051282051282,0.6973293768545994
8ci9_A,312,single,L/5,62,62,337,0.5645161290322581,0.10385756676557864
8ci9_A,312,single,L/2,156,156,337,0.5897435897435898,0.27299703264094954
8ci9_A,312,single,L,312,312,337,0.5961538461538461,0.5519287833827893
8cih_A,214,rollout,L/5,42,42,158,0.5476190476190477,0.14556962025316456
8cih_A,214,rollout,L/2,107,107,158,0.4205607476635514,0.2848101265822785
8cih_A,214,rollout,L,214,214,158,0.2850467289719626,0.3860759493670886
8cih_A,214,single,L/5,42,42,158,0.11904761904761904,0.03164556962025317
8cih_A,214,single,L/2,107,60,158,0.1,0.0379746835443038
8cih_A,214,single,L,214,60,158,0.1,0.0379746835443038
8cpk_A,384,rollout,L/5,76,76,353,0.9342105263157895,0.20113314447592068
8cpk_A,384,rollout,L/2,192,192,353,0.9375,0.509915014164306
8cpk_A,384,rollout,L,384,384,353,0.7083333333333334,0.7705382436260623
8cpk_A,384,single,L/5,76,76,353,0.7236842105263158,0.1558073654390935
8cpk_A,384,single,L/2,192,192,353,0.71875,0.3909348441926346
8cpk_A,384,single,L,384,371,353,0.6954177897574124,0.7308781869688386
8cpn_A,207,rollout,L/5,41,41,168,0.34146341463414637,0.08333333333333333
8cpn_A,207,rollout,L/2,103,103,168,0.32038834951456313,0.19642857142857142
8cpn_A,207,rollout,L,207,207,168,0.20772946859903382,0.25595238095238093
8cpn_A,207,single,L/5,41,41,168,0.17073170731707318,0.041666666666666664
8cpn_A,207,single,L/2,103,103,168,0.1262135922330097,0.07738095238095238
8cpn_A,207,single,L,207,173,168,0.10982658959537572,0.1130952380952381
8d2z_A,327,rollout,L/5,65,65,312,0.9538461538461539,0.1987179487179487
8d2z_A,327,rollout,L/2,163,163,312,0.8466257668711656,0.4423076923076923
8d2z_A,327,rollout,L,327,327,312,0.6422018348623854,0.6730769230769231
8d2z_A,327,single,L/5,65,65,312,0.4307692307692308,0.08974358974358974
8d2z_A,327,single,L/2,163,163,312,0.5276073619631901,0.27564102564102566
8d2z_A,327,single,L,327,327,312,0.4923547400611621,0.5160256410256411
8daj_A,302,rollout,L/5,60,60,299,0.9833333333333333,0.19732441471571907
8daj_A,302,rollout,L/2,151,151,299,0.9337748344370861,0.47157190635451507
8daj_A,302,rollout,L,302,302,299,0.6821192052980133,0.6889632107023411
8daj_A,302,single,L/5,60,60,299,0.45,0.0903010033444816
8daj_A,302,single,L/2,151,151,299,0.5165562913907285,0.2608695652173913
8daj_A,302,single,L,302,302,299,0.4900662251655629,0.49498327759197325
8dez_A,173,rollout,L/5,34,34,182,0.5294117647058824,0.0989010989010989
8dez_A,173,rollout,L/2,86,86,182,0.3372093023255814,0.15934065934065933
8dez_A,173,rollout,L,173,173,182,0.2543352601156069,0.24175824175824176
8dez_A,173,single,L/5,34,34,182,0.14705882352941177,0.027472527472527472
8dez_A,173,single,L/2,86,86,182,0.13953488372093023,0.06593406593406594
8dez_A,173,single,L,173,125,182,0.168,0.11538461538461539
8dge_A,738,rollout,L/5,147,147,914,0.9795918367346939,0.1575492341356674
8dge_A,738,rollout,L/2,369,369,914,0.8617886178861789,0.3479212253829322
8dge_A,738,rollout,L,738,738,914,0.6531165311653117,0.5273522975929978
8dge_A,738,single,L/5,147,147,914,0.3469387755102041,0.05579868708971553
8dge_A,738,single,L/2,369,369,914,0.4010840108401084,0.16192560175054704
8dge_A,738,single,L,738,738,914,0.43089430894308944,0.3479212253829322
8dhj_A,249,rollout,L/5,49,49,267,0.9591836734693877,0.1760299625468165
8dhj_A,249,rollout,L/2,124,124,267,0.9274193548387096,0.4307116104868914
8dhj_A,249,rollout,L,249,249,267,0.7670682730923695,0.7153558052434457
8dhj_A,249,single,L/5,49,49,267,0.3469387755102041,0.06367041198501873
8dhj_A,249,single,L/2,124,124,267,0.45161290322580644,0.20973782771535582
8dhj_A,249,single,L,249,249,267,0.5100401606425703,0.4756554307116105
8dmu_A,489,rollout,L/5,97,97,571,0.38144329896907214,0.0647985989492119
8dmu_A,489,rollout,L/2,244,244,571,0.21721311475409835,0.09281961471103327
8dmu_A,489,rollout,L,489,489,571,0.15337423312883436,0.13134851138353765
8dmu_A,489,single,L/5,97,97,571,0.010309278350515464,0.0017513134851138354
8dmu_A,489,single,L/2,244,244,571,0.036885245901639344,0.01576182136602452
8dmu_A,489,single,L,489,466,571,0.045064377682403435,0.03677758318739054
8dp9_A,148,rollout,L/5,29,29,146,0.9655172413793104,0.1917808219178082
8dp9_A,148,rollout,L/2,74,74,146,0.9459459459459459,0.4794520547945205
8dp9_A,148,rollout,L,148,148,146,0.722972972972973,0.7328767123287672
8dp9_A,148,single,L/5,29,29,146,0.4827586206896552,0.0958904109589041
8dp9_A,148,single,L/2,74,74,146,0.47297297297297297,0.23972602739726026
8dp9_A,148,single,L,148,148,146,0.4594594594594595,0.4657534246575342
8dqd_A,377,rollout,L/5,75,75,395,1.0,0.189873417721519
8dqd_A,377,rollout,L/2,188,188,395,0.9202127659574468,0.4379746835443038
8dqd_A,377,rollout,L,377,377,395,0.6763925729442971,0.6455696202531646
8dqd_A,377,single,L/5,75,75,395,0.6,0.11392405063291139
8dqd_A,377,single,L/2,188,188,395,0.6382978723404256,0.3037974683544304
8dqd_A,377,single,L,377,377,395,0.6259946949602122,0.5974683544303797
8dx0_A,154,rollout,L/5,30,30,135,0.9333333333333333,0.2074074074074074
8dx0_A,154,rollout,L/2,77,77,135,0.8961038961038961,0.5111111111111111
8dx0_A,154,rollout,L,154,154,135,0.7207792207792207,0.8222222222222222
8dx0_A,154,single,L/5,30,30,135,0.7,0.15555555555555556
8dx0_A,154,single,L/2,77,77,135,0.7012987012987013,0.4
8dx0_A,154,single,L,154,134,135,0.664179104477612,0.6592592592592592
8e0r_A,468,rollout,L/5,93,93,496,0.6344086021505376,0.11895161290322581
8e0r_A,468,rollout,L/2,234,234,496,0.4230769230769231,0.19959677419354838
8e0r_A,468,rollout,L,468,468,496,0.2777777777777778,0.2620967741935484
8e0r_A,468,single,L/5,93,93,496,0.13978494623655913,0.02620967741935484
8e0r_A,468,single,L/2,234,234,496,0.14957264957264957,0.07056451612903226
8e0r_A,468,single,L,468,412,496,0.17233009708737865,0.1431451612903226
8e5h_A,372,rollout,L/5,74,74,344,0.9864864864864865,0.21220930232558138
8e5h_A,372,rollout,L/2,186,186,344,0.8978494623655914,0.48546511627906974
8e5h_A,372,rollout,L,372,372,344,0.6747311827956989,0.7296511627906976
8e5h_A,372,single,L/5,74,74,344,0.527027027027027,0.11337209302325581
8e5h_A,372,single,L/2,186,186,344,0.532258064516129,0.2877906976744186
8e5h_A,372,single,L,372,372,344,0.5403225806451613,0.5843023255813954
8eb9_A,95,rollout,L/5,19,19,71,0.3684210526315789,0.09859154929577464
8eb9_A,95,rollout,L/2,47,47,71,0.2765957446808511,0.18309859154929578
8eb9_A,95,rollout,L,95,95,71,0.18947368421052632,0.2535211267605634
8eb9_A,95,single,L/5,19,19,71,0.0,0.0
8eb9_A,95,single,L/2,47,38,71,0.02631578947368421,0.014084507042253521
8eb9_A,95,single,L,95,38,71,0.02631578947368421,0.014084507042253521
8ec3_A,168,rollout,L/5,33,33,126,0.18181818181818182,0.047619047619047616
8ec3_A,168,rollout,L/2,84,84,126,0.2619047619047619,0.1746031746031746
8ec3_A,168,rollout,L,168,168,126,0.25,0.3333333333333333
8ec3_A,168,single,L/5,33,33,126,0.0,0.0
8ec3_A,168,single,L/2,84,72,126,0.0,0.0
8ec3_A,168,single,L,168,72,126,0.0,0.0
8eo5_A,290,rollout,L/5,58,58,253,1.0,0.22924901185770752
8eo5_A,290,rollout,L/2,145,145,253,0.9448275862068966,0.541501976284585
8eo5_A,290,rollout,L,290,290,253,0.7517241379310344,0.8616600790513834
8eo5_A,290,single,L/5,58,58,253,0.5862068965517241,0.13438735177865613
8eo5_A,290,single,L/2,145,145,253,0.6275862068965518,0.35968379446640314
8eo5_A,290,single,L,290,260,253,0.6192307692307693,0.6363636363636364
8gmy_A,236,rollout,L/5,47,47,254,0.7659574468085106,0.14173228346456693
8gmy_A,236,rollout,L/2,118,118,254,0.5423728813559322,0.25196850393700787
8gmy_A,236,rollout,L,236,236,254,0.3516949152542373,0.32677165354330706
8gmy_A,236,single,L/5,47,47,254,0.2765957446808511,0.051181102362204724
8gmy_A,236,single,L/2,118,118,254,0.2796610169491525,0.12992125984251968
8gmy_A,236,single,L,236,217,254,0.31336405529953915,0.2677165354330709
8q8i_A,282,rollout,L/5,56,56,376,0.9285714285714286,0.13829787234042554
8q8i_A,282,rollout,L/2,141,141,376,0.8581560283687943,0.32180851063829785
8q8i_A,282,rollout,L,282,282,376,0.6170212765957447,0.4627659574468085
8q8i_A,282,single,L/5,56,56,376,0.3392857142857143,0.05053191489361702
8q8i_A,282,single,L/2,141,141,376,0.4397163120567376,0.16489361702127658
8q8i_A,282,single,L,282,282,376,0.44680851063829785,0.3351063829787234
8ycm_A,229,rollout,L/5,45,45,196,0.8,0.1836734693877551
8ycm_A,229,rollout,L/2,114,114,196,0.6140350877192983,0.35714285714285715
8ycm_A,229,rollout,L,229,229,196,0.4017467248908297,0.46938775510204084
8ycm_A,229,single,L/5,45,45,196,0.3333333333333333,0.07653061224489796
8ycm_A,229,single,L/2,114,114,196,0.40350877192982454,0.23469387755102042
8ycm_A,229,single,L,229,178,196,0.34269662921348315,0.3112244897959184
