stem,L,recipe,n_label,n_requested,n_got,n_true,precision,recall
7uvg_A,183,rollout,L/2,91,91,178,0.4835164835164835,0.24719101123595505
7uvg_A,183,rollout,L,183,183,178,0.33879781420765026,0.34831460674157305
7uvg_A,183,single,L/5,36,36,178,0.1388888888888889,0.028089887640449437
7uvg_A,183,single,L/2,91,91,178,0.13186813186813187,0.06741573033707865
7uvg_A,183,single,L,183,161,178,0.11180124223602485,0.10112359550561797
7uww_A,635,rollout,L/5,127,127,693,0.8582677165354331,0.15728715728715728
7uww_A,635,rollout,L/2,317,317,693,0.6151419558359621,0.2813852813852814
7uww_A,635,rollout,L,635,635,693,0.43622047244094486,0.3997113997113997
7uww_A,635,single,L/5,127,127,693,0.29133858267716534,0.05339105339105339
7uww_A,635,single,L/2,317,317,693,0.23659305993690852,0.10822510822510822
7uww_A,635,single,L,635,635,693,0.2078740157480315,0.19047619047619047
7v3o_A,328,rollout,L/5,65,65,272,0.8461538461538461,0.20220588235294118
7v3o_A,328,rollout,L/2,164,164,272,0.6036585365853658,0.3639705882352941
7v3o_A,328,rollout,L,328,328,272,0.375,0.4522058823529412
7v3o_A,328,single,L/5,65,65,272,0.2923076923076923,0.06985294117647059
7v3o_A,328,single,L/2,164,164,272,0.3353658536585366,0.20220588235294118
7v3o_A,328,single,L,328,283,272,0.35335689045936397,0.36764705882352944
7w15_A,302,rollout,L/5,60,60,303,0.95,0.18811881188118812
7w15_A,302,rollout,L/2,151,151,303,0.8145695364238411,0.40594059405940597
7w15_A,302,rollout,L,302,302,303,0.6324503311258278,0.6303630363036303
7w15_A,302,single,L/5,60,60,303,0.35,0.06930693069306931
7w15_A,302,single,L/2,151,151,303,0.41721854304635764,0.2079207920792079
7w15_A,302,single,L,302,302,303,0.4205298013245033,0.41914191419141916
7wz5_A,161,rollout,L/5,32,32,113,0.09375,0.02654867256637168
7wz5_A,161,rollout,L/2,80,80,113,0.0625,0.04424778761061947
7wz5_A,161,rollout,L,161,161,113,0.043478260869565216,0.061946902654867256
7wz5_A,161,single,L/5,32,32,113,0.0,0.0
7wz5_A,161,single,L/2,80,42,113,0.0,0.0
7wz5_A,161,single,L,161,42,113,0.0,0.0
7wzm_A,492,rollout,L/5,98,98,456,1.0,0.2149122807017544
7wzm_A,492,rollout,L/2,246,246,456,0.9065040650406504,0.48903508771929827
7wzm_A,492,rollout,L,492,492,456,0.6707317073170732,0.7236842105263158
7wzm_A,492,single,L/5,98,98,456,0.5612244897959183,0.1206140350877193
7wzm_A,492,single,L/2,246,246,456,0.5813008130081301,0.31359649122807015
7wzm_A,492,single,L,492,458,456,0.6026200873362445,0.6052631578947368
7x3h_A,290,rollout,L/5,58,58,296,0.7931034482758621,0.1554054054054054
7x3h_A,290,rollout,L/2,145,145,296,0.6689655172413793,0.3277027027027027
7x3h_A,290,rollout,L,290,290,296,0.5689655172413793,0.5574324324324325
7x3h_A,290,single,L/5,58,58,296,0.43103448275862066,0.08445945945945946
7x3h_A,290,single,L/2,145,145,296,0.41379310344827586,0.20270270270270271
