category,metric,helico,published_protenix,delta
interface_antibody_antigen,success_rate_pct,30.43478260869565,38.36,-7.925217391304351
interface_protein_dna,success_rate_pct,46.66666666666666,67.63,-20.96333333333334
interface_protein_ligand,success_rate_pct,33.165829145728644,53.25,-20.084170854271356
interface_protein_peptide,success_rate_pct,42.85714285714285,,
interface_protein_protein,success_rate_pct,33.6283185840708,64.8,-31.1716814159292
interface_protein_rna,success_rate_pct,31.818181818181817,56.41,-24.59181818181818
monomer_dna,mean_lddt,0.5215197077682251,0.44,0.08151970776822509
monomer_protein,mean_lddt,0.8295189435491753,,
monomer_rna,mean_lddt,0.6016747158792708,0.59,0.011674715879270825
