category,n_total,n_predicted,success_pct,mean_lddt,mean_dockq
interface_antibody_antigen,74,74,5.405405405405405,0.6127794893751952,0.0580043368455436
interface_protein_dna,181,181,33.70165745856354,0.6990704336792457,0.3241759822007239
interface_protein_ligand,220,213,15.023474178403756,0.7366988756083999,
interface_protein_peptide,30,30,20.0,0.6308441472034196,0.1341339542594706
interface_protein_protein,131,124,15.32258064516129,0.5594168871234659,0.1490399725673679
interface_protein_rna,41,39,12.82051282051282,0.4594187984394648,0.0877135301265737
monomer_dna,4,4,,0.4480298656637552,
monomer_protein,159,159,,0.7901748017333817,
monomer_rna,8,8,,0.5286690062563578,
